Country,M49 code,Region,Confidence in estimate,combined figures (kg/capita/year),Household estimate (kg/capita/year),Retail estimate (kg/capita/year),Food service estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (tonnes/year),Food service estimate (tonnes/year),fbs_cereals_food_supply_kgcapyr,fbs_domestic_supply_qty,fbs_export_qty,fbs_fat_gcapday,fbs_feed,fbs_food_supply_kcalcapday,fbs_food_supply_kgcapyr,fbs_fruits_food_supply_kgcapyr,fbs_import_qty,fbs_losses,fbs_meat_food_supply_kgcapyr,fbs_milk_dairy_food_supply_kgcapyr,fbs_population,fbs_processing,fbs_protein_gcapday,fbs_residuals,fbs_seed,fbs_stock_variation,fbs_tourist_consumption,fbs_vegetables_food_supply_kgcapyr,cp_food_cpi,cp_general_cpi,cp_food_general_gap,qcl_area_harvested_total,qcl_production_cereals,qcl_production_fruits,qcl_production_meat,qcl_production_milk,qcl_production_roots_tubers,qcl_production_total,qcl_production_vegetables,qcl_yield_avg,ti_export_qty_idx,ti_export_uv_idx,ti_export_val_idx,ti_import_qty_idx,ti_import_uv_idx,ti_import_val_idx,ti_val_idx_gap
Philippines,608,South-eastern Asia,Very Low Confidence,130,86,16,28,9334477,1690968,2989216,536.7666666666668,251830.33333333334,18571.666666666668,8363215.133333333,26621.333333333332,459497935.2533333,1228.3066666666666,152.47666666666666,52426.0,7092.666666666667,69.14666666666666,57.89666666666667,111995.63,60153.666666666664,12409222.916666666,-2414.0,3095.0,-272.3333333333333,,123.52666666666666,118.28048958333333,115.59237736111112,2.688112222222216,32440732.666666668,56655166.71,33484116.299999997,8372968.446666666,53140.666666666664,3263823.5833333335,205729702.02666667,13206548.806666667,6296.510576923077,498.49353753915847,152.5754685780205,282.93775,5041.519145242094,261.14146411245696,2944.08277692176,2661.14502692176
Poland,616,Eastern Europe,Low Confidence,95,56,13,26,2119455,485392,968807,297.41,177058.0,57283.0,7524619.5633333335,37577.666666666664,202144028.2833334,1898.006666666667,129.16666666666666,40187.666666666664,6598.333333333333,174.34,400.67,38145.73,50698.0,6617373.596666668,-2508.0,4624.0,1520.0,,278.8833333333334,117.85514580555555,109.74829291666667,8.10685288888888,18851580.0,61366730.0,8150483.333333333,13639609.976666667,35028529.89666667,7140863.333333333,200621431.14666668,7303366.666666667,11754.41632042227,794.610831781502,143.8633250569005,823.6128534093608,160.82739922242683,120.51779210149375,149.77014296905602,-673.8427104403048
Portugal,620,Southern Europe,Low Confidence,123,84,13,26,861786,131011,261488,287.21,41583.0,12981.666666666666,2204855.9566666665,7993.666666666667,52599467.44000002,2107.486666666666,285.4133333333333,30303.0,1366.0,186.80000000000004,439.6666666666667,10368.23,10800.0,1782053.0433333332,-1660.0,234.33333333333334,1191.3333333333333,,258.84999999999997,104.79937911111112,103.77705183333332,1.022327277777805,1958271.3333333333,2922503.3333333335,4307775.333333333,2248533.0,5297801.306666667,415750.0,26017551.74333333,4354566.666666667,13542.041353874883,269.2565007826449,213.35726600141857,186.51117124099622,119.09850814972903,117.20178687255456,123.86056566384435,-62.650605577151865
Puerto Rico,630,Latin America and the Caribbean,Low Confidence,113,74,13,26,216839,37581,75008,,,,,,,,,,,,,,,,,,,,,102.93596405555554,103.33597952777778,-0.4000154722222362,39684.333333333336,99930.03666666667,541503.6033333334,111485.70666666667,460316.49333333335,3446.1733333333336,1532014.1533333333,62599.776666666665,9743.464102564103,,,,,,,
Qatar,634,Western Asia,Low Confidence,134,95,13,26,267724,36283,72418,409.1966666666667,7690.0,17.0,460641.4133333334,2326.0,13806918.266666668,1834.793333333333,155.16666666666666,7312.333333333333,146.0,163.34666666666666,251.18999999999997,2805.4266666666667,14.666666666666666,462953.55666666664,0.0,2.0,117.33333333333333,,411.06,100.68666127777777,101.69036430555555,-1.0037030277777745,11108.666666666666,15254.326666666666,30359.033333333336,149676.55666666667,97987.12666666666,260.8333333333333,685348.3933333334,147318.56000000003,10901.577630723232,203.11900173174683,177.21415004748337,256.68883023294785,137869.7405554999,536.7029402925265,14559.116039753237,14302.427209520289
Republic of Korea,410,Eastern Asia,Low Confidence,110,71,13,26,3657764,656263,1309852,310.1233333333334,133635.0,7718.333333333333,9351058.913333334,24051.0,256450683.51,1679.5866666666668,104.40333333333332,73709.66666666667,4627.333333333333,161.59,64.32333333333334,51824.91,13989.333333333334,8108283.459999998,-583.6666666666666,326.6666666666667,211.0,18.0,467.1766666666667,114.21025291666668,106.10783986111112,8.102413055555559,3026002.6666666665,12179256.12,4402759.28,6973322.326666667,5855112.536666666,928463.3333333334,68863397.63,17959191.856666666,12671.776515151514,679.321109732473,187.21359667262786,1101.4976590660342,136.99611008837823,109.22396263145644,138.73909082980273,-962.7585682362314
Republic of Moldova,498,Eastern Europe,Very Low Confidence,120,76,16,28,307419,63238,111789,294.77666666666664,10474.666666666666,5798.333333333333,363093.4666666666,2940.6666666666665,11259516.226666667,1632.2299999999998,246.49333333333334,1420.0,317.0,103.78333333333335,227.35666666666665,2568.4900000000002,2730.6666666666665,347153.0,-73.66666666666667,321.0,347.6666666666667,,238.1,141.9584531666667,127.76817777777778,14.190275388888907,3705495.6666666665,6521906.14,2469423.0,231810.65666666665,772710.1233333334,189013.33333333334,15199837.636666665,390216.0533333334,4496.9576131687245,21130.405608545483,194.65085965674726,8814.21884770073,232.34607968054027,128.53246704664483,210.86190826293316,-8603.356939437796
Romania,642,Eastern Europe,Low Confidence,109,70,13,26,1352979,248086,495161,357.99666666666667,76847.0,36370.333333333336,3763086.433333333,19036.666666666668,103360679.24666667,2105.6966666666667,219.77999999999997,22964.666666666668,1261.6666666666667,135.12333333333333,456.87999999999994,19380.72333333333,9807.0,3118068.723333333,-36.666666666666664,2972.0,4309.0,,338.94,113.15277777777777,112.15861111111111,0.9941666666666578,13931790.0,52539238.38333333,4438266.666666667,2345622.64,9322721.110000001,1875290.0,90707239.33666666,3410196.6666666665,8426.699735936303,372.594696969697,134.58333333333334,416.0092592592593,153.68388885515958,174.07019407848136,181.40220866027315,-234.60705059898615
Russian Federation,643,Eastern Europe,Medium Confidence,75,33,14,28,4868564,2001062,4033088,314.57,577093.6666666666,119068.66666666667,25657939.006666664,110456.0,728721297.46,1827.3266666666668,145.17000000000002,67826.0,9457.333333333334,154.72,385.74666666666667,146246.84666666668,148622.33333333334,24249681.44,-1428.6666666666667,34945.0,1407.3333333333333,,241.91,123.89692777777778,124.75859600000001,-0.8616682222222352,142816723.0,251552283.3033333,8929584.1,29879577.95,71910671.18,19992589.866666667,638396368.8833333,22840461.97666667,6408.645247524752,652.5170454545455,98.42424242424242,443.61851851851844,223.11229437229437,104.91177489177488,209.6578833022967,-233.96063521622173
Rwanda,646,Sub-Saharan Africa,Very Low Confidence,208,164,16,28,2075405,197489,349112,140.26333333333335,20121.0,974.0,564021.2633333334,144.0,42590767.330000006,1270.4833333333336,123.16333333333334,2408.3333333333335,1219.0,15.906666666666666,28.689999999999998,13065.733333333335,2156.0,1076622.08,-345.6666666666667,312.3333333333333,0.0,,99.01333333333332,132.60578275,127.29042975,5.315353000000002,4140577.3333333335,1807046.33,4320082.420000001,338475.9566666666,549875.9666666667,3524937.9499999997,17451745.886666667,1041443.5566666666,4975.844117647059,4832.267962040495,361.78826497271626,2672.7431486396285,19063.67667391642,236.57499611620315,18910.417636776136,16237.674488136507
